"GL_CODE","GL_DESC"
"6590000A3","DROITS A CONGE"
"6600000A2","IMPOTS ET TAXES"
"6600000A3","IMPOTS ET TAXES"
"6601000A4"," PRÉLÈVEMENTS SUR L'ACTIVITÉ EN GÉNÉRAL "
"6610000A3","PRELEVMNT SUR EMPLOI MAIN OEUVRE"
"6620000A3","PRELEVEMENTS SUR L APPROVISIONNEMT"
"6630000A3","PRELEVEMENTS SUR LA PRODUCTION"
"6640000A3","PRELVMNTS SUR LA DISTRIBUTION"
"6650000A3","PRELVMNTS CEDULAIRE/ LES REVENUS"
"6660000A3","PRELVMNTS GENERAUX/ LES REVENUS"
"6670000A3","PRELVMNTS FORFET SUR LES REVENUS"
"6680000A3","PRELÈVEMENTS SUR LE PATRIMOINE"
"6690000A3","PRÉLÈVEMENTS EN CAPITAL"
"6700000A2","PERTES EXECP. OU SUR EXO ANT. M.V.C"
"6710000A3","CHARGES EXPL BANCAIRE S EXO ANT"
"6711000A4","CHGS OPS AVC CLTELE ET CREDIT BAIL"
"6712000A4","CHARGES SUR OPERATION BANC DIVERSES"
"6713000A4","CHARGES SUR RESSOURCES PERMANENTES"
"6720000A3","CHGS GENRLE D EXPL SUR EXO ANT"
"6721000A4","FOURNITURES CONSOMMEES"
"6722000A4","TRANSPORTS ET DEPLACEMENT"
"6723000A4","AUTRES SERVICES CONSOMMES"
"6724000A4","CHARGES D EXPLOITATION DIVERSES"
"6725000A4","ASSISTANCE TECHN. ET FRAIS D INSPEC"
"6730000A3","AUTRES CHARGES SUR EXO ANTERIEUR"
"6731000A4","FRAIS DE PERSONNEL"
"6732000A4","IMPOT ET TAXES"
"6760000A3","MOINS VALUE SUR CESS. D ELMT ACTION"
"6761000A4","MV CESS TITRE PLCT ET PARTICIP"
"6762000A4","MV SUR CESSION AUTRES ACTIFS"
"6791000A4","PERTE SUR OPS DE TRESORERIE"
"6792000A4","PERTE SUR OPS AVEC LA CLIENTELE"
"6793000A4","PERTE SUR OPS BANCAIRES"
"6794000A4","PERTE EXCP LIEES AU PERSONNEL"
"6795000A4","AMENDES ET PENALITE FISCALES"
"6797000A4","MANQUANT SUR STOCK DE FOURNITURES"
"6798000A4","MISE AU REBUT D IMMOBILISATIONS"
"6799000A4","AUTRES PERTES EXCEPTIONNELLES"
"6800000A2","DOTATION AUX AMORTISSEMENTS"
"6800000A3","DOTATION AUX AMORTISSEMENTS"
"6801100A5","DOTATION AUX AMORT FRAIS RELATIF AU PACTE SOCIAL"
"6801200A5","DOTATION AUX AMORT FRAIS EMISSIONS DES EMPRUNTS"
"6801300A5","DOTATION AUX AMORT FRAIS AQUISITION IMMOBILISATION"
